,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
3319,Entire home/apt,8,2.5,3.0,3.0,Real Bed,750.0,800.0,200.0,200.0,1,0.0,3,29,59,89,364,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3321,Entire home/apt,4,1.0,1.0,2.0,Real Bed,120.0,800.0,290.0,65.0,1,0.0,1,30,60,90,365,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3322,Private room,2,1.0,1.0,1.0,Real Bed,100.0,800.0,290.0,25.0,2,25.0,1,28,58,88,88,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3323,Entire home/apt,6,1.5,2.0,3.0,Real Bed,110.0,800.0,290.0,105.0,1,0.0,2,27,57,87,357,0.0,93.0,10.0,8.0,8.0,10.0,10.0,10.0,0,strict
3325,Entire home/apt,6,2.5,3.0,3.0,Real Bed,650.0,800.0,1500.0,150.0,1,0.0,1,30,60,90,365,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3327,Entire home/apt,5,1.0,2.0,2.0,Real Bed,189.0,1200.0,500.0,70.0,2,25.0,3,25,50,80,355,9.0,90.0,9.0,9.0,9.0,9.0,10.0,9.0,0,strict
3328,Private room,8,1.0,1.0,4.0,Real Bed,99.0,800.0,290.0,65.0,1,0.0,1,21,51,81,356,28.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3329,Entire home/apt,2,1.5,1.0,1.0,Real Bed,135.0,800.0,290.0,60.0,1,0.0,2,10,11,11,25,3.0,100.0,9.0,9.0,10.0,9.0,9.0,10.0,0,flexible
3330,Entire home/apt,4,1.0,1.0,2.0,Real Bed,265.0,1180.0,500.0,75.0,4,50.0,2,30,60,90,365,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3332,Private room,3,1.0,1.0,1.0,Real Bed,160.0,800.0,200.0,25.0,1,0.0,1,2,32,62,337,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3334,Private room,2,1.0,1.0,1.0,Real Bed,70.0,300.0,100.0,20.0,2,100.0,3,25,55,85,360,12.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict
3335,Entire home/apt,6,1.0,2.0,3.0,Real Bed,145.0,800.0,150.0,45.0,4,25.0,2,13,39,58,287,129.0,94.0,9.0,10.0,10.0,10.0,10.0,9.0,1,strict
3336,Entire home/apt,2,1.0,1.0,1.0,Real Bed,150.0,625.0,290.0,50.0,1,0.0,1,23,53,83,139,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3338,Entire home/apt,10,3.5,5.0,6.0,Real Bed,1099.0,6999.0,1899.0,250.0,1,0.0,2,29,53,83,358,2.0,80.0,10.0,9.0,9.0,8.0,10.0,9.0,0,strict
3339,Entire home/apt,10,2.0,4.0,5.0,Real Bed,620.0,800.0,290.0,150.0,1,0.0,2,0,0,0,35,21.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3340,Entire home/apt,8,2.0,2.0,2.0,Real Bed,450.0,800.0,290.0,50.0,1,0.0,1,30,60,90,365,2.0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0,flexible
3341,Entire home/apt,6,3.0,3.0,4.0,Real Bed,1000.0,800.0,500.0,300.0,1,0.0,2,30,60,90,365,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3342,Entire home/apt,4,1.0,2.0,2.0,Real Bed,250.0,1250.0,290.0,75.0,4,25.0,1,30,60,90,365,1.0,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0,strict
